_id,latLng,name,city,state,country,updatedAt
SppNIELEiG,"45.180102,-94.0508863",Albion Ridges Golf Course,Annandale,Minnesota,US,2024-02-09T00:00:00.000Z
CTpVlfPLKd,"35.0873359,-106.673731",Albuquerque Country Club,Albuquerque,New Mexico,US,2024-02-09T00:00:00.000Z
Jsonjvlud9,"44.9080818,-73.310454",Alburg Golf Links,Alburg,Vermont,US,2024-02-09T00:00:00.000Z
PxBA9mGqHF,"43.0263056,-96.6275635",Alcestor Golf Course,Alcestor,South Dakota,US,2024-02-09T00:00:00.000Z
7fliMB5lfd,"47.5848109,-121.956185",Aldarra Golf Club,Sammamish,Washington,US,2024-02-09T00:00:00.000Z
HD0GgjIplB,"42.2910971,-88.9914326",Aldeen Golf Club,Rockford,Illinois,US,2024-02-09T00:00:00.000Z
XCOaKa4kCB,"26.6680737,-82.1572906",Alden Pines Golf Country Club,Bokeelia,Florida,US,2024-02-09T00:00:00.000Z
jklzmm9tRG,"46.4164947,-124.787153",Alderbrook Golf Course,Tillamook,Oregon,US,2024-02-09T00:00:00.000Z
0mzTNbDad8,"47.3378897,-123.072556",Alderbrook Golf and Yacht Club,Union,Washington,US,2024-02-09T00:00:00.000Z
3NWzpRLxGB,"45.916862,-95.3869583",Alexandria Golf Club,Alexandria,Minnesota,US,2024-02-09T00:00:00.000Z
gEyKqsuKgh,"33.7145569,-84.4666967",Alfred Tup Holmes Golf Course,Atlanta,Georgia,US,2024-02-09T00:00:00.000Z
smSyhCgQnr,"39.059281,-77.3777937",Algonkian Golf Course,Sterling,Virginia,US,2024-02-09T00:00:00.000Z
hBdjiMJeDq,"38.5874273,-100.132375",Algonquin Golf Club,St. Louis,Missouri,US,2024-02-09T00:00:00.000Z
gpdJTNjVRy,"34.0895506,-118.115579",Alhambra Golf Course,Alhambra,California,US,2024-02-09T00:00:00.000Z
tMVSn2clTT,"36.2951258,-115.185184",Aliante Golf Club,North Las Vegas,Nevada,US,2024-02-09T00:00:00.000Z
TAWJ7D54gV,"34.5826691,-120.140961",Alisal Golf Course,Solvang,California,US,2024-02-09T00:00:00.000Z
x8t4PFreV0,"33.6004856,-117.803393",Aliso Viejo Country Club,Aliso Viejo,California,US,2024-02-09T00:00:00.000Z
L65IUiTbWX,"38.63256,-121.405159",Alister MacKenzie,Sacramento,California,US,2024-02-09T00:00:00.000Z
bH4eDzb1kS,"40.5626699,-80.1660996",Allegheny Country Club,Sewickly,Pennsylvania,US,2024-02-09T00:00:00.000Z
Oansuv5xdg,"40.5253448,-122.376237",Allen's Golf Course,Redding,California,US,2024-02-09T00:00:00.000Z
nnB5EDGl7r,"41.6221893,-70.9782732",Allendale Country Club,Dartmouth,Massachusetts,US,2024-02-09T00:00:00.000Z
kGBDMnGFr9,"47.2400008,-122.478244",Allenmore Golf Course,Tacoma,Washington,US,2024-02-09T00:00:00.000Z
wigEAW0wt5,"40.5974087,-75.5375808",Allentown Municipal Golf Course,Allentown,Pennsylvania,US,2024-02-09T00:00:00.000Z
lcKJZpUi4Q,"40.8950352,-81.0980719",Alliance Country Club,Alliance,Ohio,US,2024-02-09T00:00:00.000Z
Agza05xFRR,"41.3082642,-72.8755967",Alling Memorial Golf Course,New Haven,Connecticut,US,2024-02-09T00:00:00.000Z
TJi3kgRrfF,"37.214021,-121.869225",Almaden Golf and Country Club,San Jose,California,US,2024-02-09T00:00:00.000Z
oLfBwZxtu1,"33.881768,-118.345488",Alondra Park Golf Course,Lawndale,California,US,2024-02-09T00:00:00.000Z
vRV5Ts0yQf,"33.433731,-86.2976089",Alpine Bay Golf Club,Alpine,Alabama,US,2024-02-09T00:00:00.000Z
jcydoDt5Y7,"41.7834854,-71.5570313",Alpine Country Club,Cranston,Rhode Island,US,2024-02-09T00:00:00.000Z
O3TrhWNAxR,"40.952491,-73.9504649",Alpine Country Club,Demarest,New Jersey,US,2024-02-09T00:00:00.000Z
p9MY19WaLh,"40.427636,-111.779583",Alpine Country Club,Highland,Utah,US,2024-02-09T00:00:00.000Z
f9mJThSgAy,"43.0787026,-85.6914631",Alpine Golf Club,Comstock Park,Michigan,US,2024-02-09T00:00:00.000Z
CRDdSoVCf0,"32.5324963,-94.7040866",Alpine Golf Course,Longview,Texas,US,2024-02-09T00:00:00.000Z
BtCnzm67pW,"45.0464425,-87.2995292",Alpine Golf Course,Egg Harbor,Wisconsin,US,2024-02-09T00:00:00.000Z
1tx0ITM6dq,"39.463283,-79.4988763",Alpine Lake Resort,Terra Alta,West Virginia,US,2024-02-09T00:00:00.000Z
YxnDzeF8ob,"45.4363403,-117.295035",Alpine Meadows Golf Course,Enterprise,Oregon,US,2024-02-09T00:00:00.000Z
9MzSSjNy1N,"32.533644,-94.7053798",Alpine Target Golf Center,Longview,Texas,US,2024-02-09T00:00:00.000Z
n42AKc7WFM,"42.7359335,-88.4292439",Alpine Valley Resort,Elkhorn,Wisconsin,US,2024-02-09T00:00:00.000Z
M2JjmMQ2bi,"29.3613778,-98.9360629",Alsatian,Castroville,Texas,US,2024-02-09T00:00:00.000Z
